time/episodes,rollout/ep_rew_mean,train/actor_loss,time/time_elapsed,time/fps,rollout/ep_len_mean,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef
4,41.6961195,-103.56637573242188,16,37,150.0,1.9684878587722778,998,600,0.8651811480522156
8,38.542090625,-222.7835693359375,21,54,150.0,0.3308933973312378,2198,1200,0.734835684299469
12,40.256428,-322.50762939453125,27,64,150.0,0.2632561922073364,3398,1800,0.6296611428260803
16,47.6722086875,-403.5182800292969,33,71,150.0,0.24534422159194946,4598,2400,0.542998731136322
20,55.56523625,-468.06695556640625,39,75,150.0,0.17055541276931763,5798,3000,0.47041141986846924
24,67.79710949999999,-518.4898071289062,45,79,150.0,0.11450322717428207,6998,3600,0.4088362455368042
28,77.37100153571429,-557.1402587890625,51,81,150.0,0.07967278361320496,8198,4200,0.3561320900917053
32,86.72380809375,-585.6138916015625,57,83,150.0,0.06780815124511719,9398,4800,0.31071141362190247
36,96.39944002777776,-605.78271484375,63,85,150.0,0.050815146416425705,10598,5400,0.27137869596481323
40,105.32478602500001,-618.9534912109375,68,87,150.0,0.04083438217639923,11798,6000,0.23720239102840424
44,113.75967747727273,-626.3011474609375,74,88,150.0,0.03612817823886871,12998,6600,0.20743967592716217
48,121.15025635416667,-628.8468017578125,80,89,150.0,0.030998485162854195,14198,7200,0.18147964775562286
52,128.7902940576923,-627.4359130859375,86,90,150.0,0.026672599837183952,15398,7800,0.15880970656871796
56,135.9159672857143,-622.9212646484375,92,90,150.0,0.026577791199088097,16598,8400,0.13900281488895416
60,142.72991313333333,-615.8585205078125,98,91,150.0,0.023505423218011856,17798,9000,0.1216869205236435
64,148.66580865625,-606.9246826171875,104,92,150.0,0.024618636816740036,18998,9600,0.10654885321855545
68,154.22508810294116,-596.1392822265625,110,92,150.0,0.025119369849562645,20198,10200,0.0933050736784935
72,159.26580120833333,-584.1671752929688,116,93,150.0,0.023485930636525154,21398,10800,0.08171245455741882
76,163.9042163026316,-571.323486328125,121,93,150.0,0.023330746218562126,22598,11400,0.07156239449977875
80,168.7216230125,-557.590576171875,127,93,150.0,0.022385992109775543,23798,12000,0.06268234550952911
84,173.3659890238095,-543.5780639648438,133,94,150.0,0.02480868622660637,24998,12600,0.05492275580763817
88,177.96722413636363,-529.30859375,139,94,150.0,0.026622043922543526,26198,13200,0.04814261943101883
92,182.09801448913043,-515.0662841796875,145,94,150.0,0.02999734692275524,27398,13800,0.04222344607114792
96,186.72387269791668,-501.1317138671875,151,95,150.0,0.036167968064546585,28598,14400,0.037061840295791626
100,191.05842546,-487.15106201171875,157,95,150.0,0.03607145696878433,29798,15000,0.03256560489535332
104,201.66190125999998,-473.72412109375,163,95,150.0,0.03419296815991402,30998,15600,0.02864195592701435
108,212.81861100999998,-460.9115295410156,169,95,150.0,0.03685031086206436,32198,16200,0.025203905999660492
112,223.82379711,-448.53369140625,175,95,150.0,0.03135998919606209,33398,16800,0.02220723405480385
116,234.0453166,-436.7675476074219,181,96,150.0,0.034456465393304825,34598,17400,0.01957830972969532
120,244.13080328000004,-426.1443786621094,187,96,150.0,0.035219356417655945,35798,18000,0.017288800328969955
124,252.65337826999996,-415.60906982421875,193,96,150.0,0.0313958078622818,36998,18600,0.015295017510652542
128,261.07774967000006,-405.91180419921875,199,96,150.0,0.03122267685830593,38198,19200,0.013549193739891052
132,268.87588554999996,-397.31756591796875,205,96,150.0,0.02999546192586422,39398,19800,0.012007853016257286
136,275.91961534,-388.3727722167969,211,96,150.0,0.029852820560336113,40598,20400,0.01065072137862444
140,282.66155487,-380.8758850097656,217,96,150.0,0.030140988528728485,41798,21000,0.009451836347579956
144,289.16971928000004,-373.4869384765625,223,96,150.0,0.027609771117568016,42998,21600,0.008400755003094673
148,295.6990925399999,-366.1682434082031,229,96,150.0,0.026328599080443382,44198,22200,0.007476679515093565
152,301.7987214,-360.6713562011719,235,96,150.0,0.03055805154144764,45398,22800,0.006666780449450016
156,307.54261015,-355.8762512207031,241,96,150.0,0.026063548400998116,46598,23400,0.005954190157353878
160,313.21338333,-349.8924560546875,247,96,150.0,0.024729952216148376,47798,24000,0.005323088727891445
164,318.87494832,-345.05389404296875,253,97,150.0,0.027663415297865868,48998,24600,0.004773320164531469
168,324.41395901000004,-340.2830505371094,259,97,150.0,0.021551504731178284,50198,25200,0.004293546546250582
172,329.87989238999995,-336.20611572265625,265,97,150.0,0.02187390998005867,51398,25800,0.003862570971250534
176,335.45212565,-332.5126953125,271,97,150.0,0.021953409537672997,52598,26400,0.003481884952634573
180,340.50072699000003,-329.3570251464844,277,97,150.0,0.019738027825951576,53798,27000,0.003144879825413227
184,345.6007345000001,-326.43206787109375,283,97,150.0,0.02094239927828312,54998,27600,0.0028493935242295265
188,350.27420989999996,-322.5804443359375,290,97,150.0,0.01931285485625267,56198,28200,0.0025969655252993107
192,355.1623867800001,-319.8859558105469,296,97,150.0,0.01650698482990265,57398,28800,0.002390911104157567
196,359.32040342000005,-317.472412109375,302,97,150.0,0.017155084758996964,58598,29400,0.0022215070202946663
200,363.31507846000005,-315.439208984375,308,97,150.0,0.016284050419926643,59798,30000,0.0020718849264085293
204,367.03611636,-313.68621826171875,314,97,150.0,0.016256732866168022,60998,30600,0.0019470445113256574
208,370.48817612,-311.1134033203125,320,97,150.0,0.015780944377183914,62198,31200,0.0018525220220908523
212,373.84207452000004,-309.2364501953125,326,97,150.0,0.01501490082591772,63398,31800,0.0017844956601038575
216,376.88786819,-308.31768798828125,332,97,150.0,0.014034604653716087,64598,32400,0.0017473872285336256
220,379.41370367999997,-306.674072265625,338,97,150.0,0.0128591638058424,65798,33000,0.0017333391588181257
224,381.96074862999996,-304.58270263671875,344,97,150.0,0.013725330121815205,66998,33600,0.0017364214872941375
228,384.35803309000005,-303.14105224609375,351,97,150.0,0.012529096566140652,68198,34200,0.001722752465866506
232,386.7139899900001,-302.10101318359375,357,97,150.0,0.011849894188344479,69398,34800,0.0017011204035952687
236,389.10103686,-300.7890319824219,363,97,150.0,0.013723728246986866,70598,35400,0.0017439834773540497
240,391.21945971,-299.76116943359375,369,97,150.0,0.01396526861935854,71798,36000,0.0017759195761755109
244,393.11407442,-298.3438720703125,375,97,150.0,0.013057070784270763,72998,36600,0.001767837326042354
248,394.9638536499999,-297.67547607421875,381,97,150.0,0.01264627929776907,74198,37200,0.001789379632100463
252,396.68437451000005,-296.29168701171875,387,97,150.0,0.011151771992444992,75398,37800,0.0017981219571083784
256,398.36226161999997,-295.7115478515625,393,97,150.0,0.012742938473820686,76598,38400,0.0018049858044832945
260,399.84188608000005,-294.90716552734375,399,97,150.0,0.013001023791730404,77798,39000,0.0018351394683122635
264,401.1913293,-294.31707763671875,406,97,150.0,0.012154961004853249,78998,39600,0.0018710638396441936
268,402.2587350600001,-293.38153076171875,412,97,150.0,0.012940570712089539,80198,40200,0.001832090551033616
272,403.57266668999995,-292.7190856933594,418,97,150.0,0.013154805637896061,81398,40800,0.0018421901622787118
276,404.8012350300001,-292.07025146484375,424,97,150.0,0.013655570335686207,82598,41400,0.0018929324578493834
280,406.15421137000004,-291.17822265625,430,97,150.0,0.013526450842618942,83798,42000,0.0019446136429905891
284,407.1476294600001,-290.7508850097656,436,97,150.0,0.014924063347280025,84998,42600,0.0019113292219117284
288,408.19491051,-290.25732421875,442,97,150.0,0.012142478488385677,86198,43200,0.0019006611546501517
292,408.86329052,-289.90185546875,448,97,150.0,0.01675546169281006,87398,43800,0.001925183110870421
296,409.73129989,-289.3169250488281,454,97,150.0,0.01474023424088955,88598,44400,0.0019063258077949286
300,410.82691269,-288.9670104980469,460,97,150.0,0.01367939729243517,89798,45000,0.0019391300156712532
304,411.54437069000005,-288.5408630371094,466,97,150.0,0.0145115926861763,90998,45600,0.001972296740859747
308,412.09405217,-288.38458251953125,472,97,150.0,0.014774804003536701,92198,46200,0.0019851084798574448
312,412.76097387999994,-287.87994384765625,478,97,150.0,0.015207402408123016,93398,46800,0.0020162041764706373
316,413.36322583000003,-287.7528076171875,484,97,150.0,0.016191264614462852,94598,47400,0.002008704701438546
320,414.20562835000004,-287.3399658203125,490,97,150.0,0.017206542193889618,95798,48000,0.002022437984123826
324,415.0895651,-287.22845458984375,496,97,150.0,0.013686229474842548,96998,48600,0.0020329381804913282
328,415.67357694000003,-286.9998779296875,502,97,150.0,0.015131033957004547,98198,49200,0.0020604515448212624
332,416.61446696,-286.7332763671875,508,97,150.0,0.01837819628417492,99398,49800,0.002066643675789237
336,417.22039433,-286.7294921875,514,97,150.0,0.016802767291665077,100598,50400,0.002063985448330641
340,418.00568516000004,-286.56439208984375,520,97,150.0,0.015152877196669579,101798,51000,0.0021021643187850714
344,418.7110721,-286.58392333984375,526,98,150.0,0.016369163990020752,102998,51600,0.002129792934283614
348,419.09682790999994,-286.50518798828125,532,98,150.0,0.017489535734057426,104198,52200,0.002134905196726322
352,419.5819840399999,-286.5794372558594,538,98,150.0,0.0172015018761158,105398,52800,0.002144390484318137
356,419.92266464999994,-286.4677734375,544,98,150.0,0.017875123769044876,106598,53400,0.0021771288011223078
360,420.22096253,-286.48779296875,550,98,150.0,0.01779845543205738,107798,54000,0.002196066314354539
364,420.74615667000006,-286.5918884277344,556,98,150.0,0.017467526718974113,108998,54600,0.002159553812816739
